ticker,name,sector,trailingPE,priceToBook,dividendYield,marketCap,ret_3m,ret_6m,ret_12m,last_price,ma20,ma50,avg_volume_20,avg_value_20,atr,atr_pct,lulus_screen,score
JPFA.JK,Japfa Comfeed Indonesia Tbk.,Consumer Defensive,9.234415,1.8116983,5.3,30813324312576,26.190476190476193,70.96774193548387,,2650.0,2549.5,2459.6,25350825.0,65184536400.0,138.57142857142858,5.22911051212938,True,80.0
EMTK.JK,Elang Mahkota Teknologi Tbk,Communication Services,11.033017,2.1089234,2.8,82549531475968,8.895152180660082,151.06383510042315,,1350.0,1283.4978820800782,1270.5771166992188,173133065.0,226929756627.33887,66.78571428571429,4.947089947089948,True,80.0
ASII.JK,Astra International Tbk,Industrials,8.176615,1.1765833,6.15,267191458988032,20.420337965921888,46.26217620605861,,6600.0,6547.5,6312.6662109375,38749510.0,253851774750.0,198.21428571428572,3.0032467532467533,True,78.50487048242344
ASSA.JK,Adi Sarana Armada Tbk.,Industrials,11.328278,1.9604741,4.27,4300175310848,30.37100016788698,68.04506449236108,,1165.0,1134.5,1053.8180200195313,11324970.0,12959166425.0,47.142857142857146,4.04659717964439,True,70.0
KIJA.JK,Kawasan Industri Jababeka Tbk,Real Estate,29.729729,0.74404,0.71,4525899907072,11.11111111111111,22.07741383431468,,220.0,187.35,186.0,218999635.0,47342101405.0,15.785714285714286,7.175324675324676,True,68.83096553372587
AUTO.JK,Astra Otoparts Tbk,Consumer Cyclical,6.393416,0.8658677,7.14,13254265929728,20.95037963429261,40.20615682277713,,2750.0,2664.0,2560.958681640625,3948950.0,10537964500.0,116.42857142857143,4.233766233766234,True,66.08246272911086
ISAT.JK,Indosat Tbk,Communication Services,16.544502,2.2230477,3.55,76434420793344,29.508196721311474,13.397129186602871,,2370.0,2288.5,2076.5,17219520.0,39703065000.0,110.0,4.641350210970464,True,65.35885167464116
BBNI.JK,Bank Negara Indonesia  (Persero,Financial Services,8.161915,0.99198145,8.82,165420178866176,2.3041474654377883,3.255813953488372,,4440.0,4344.5,4269.8,36812525.0,160376710000.0,102.85714285714286,2.316602316602317,True,61.30232558139535
VIVA.JK,Visi Media Asia Tbk.,Communication Services,0.14075834,-29.502151,,790284992512,14.285714285714285,300.0,,48.0,33.1,31.34,27609345.0,1040895015.0,2.2857142857142856,4.761904761904762,True,60.0
BMRI.JK,Bank Mandiri (Persero) Tbk,Financial Services,9.0416565,1.6537005,9.67,465733335121920,12.895927601809957,-1.6748768472906401,,4990.0,4917.5,4667.0,128509720.0,634147976825.0,117.5,2.3547094188376754,True,59.330049261083744
IMAS.JK,Indomobil Sukses Internasional ,Consumer Cyclical,26.249208,0.37975192,0.31,4972892127232,9.691629955947137,46.34576810707894,,1245.0,1240.25,1183.0,4002185.0,5383280800.0,87.5,7.028112449799197,True,58.53830724283158
ULTJ.JK,Ultrajaya Milk Industry & Tradi,Consumer Defensive,12.933264,1.988048,3.06,15597262864384,15.384615384615385,15.384615384615385,,1500.0,1489.5,1444.2,6896075.0,10163981350.0,31.785714285714285,2.119047619047619,True,56.15384615384615
TOWR.JK,Sarana Menara Nusantara Tbk.,Communication Services,8.506193,1.2653592,3.11,33685919236096,-2.178968176489467,13.165514841243914,,570.0,542.5720825195312,537.3145239257813,25014695.0,13613034194.489746,14.889479302272353,2.6121893512758514,True,55.26620593649756
MTEL.JK,Dayamitra Telekomunikasi Tbk.,Communication Services,22.575869,1.5133697,2.97,50971384217600,2.5210084033613445,10.909090909090908,,610.0,603.5,578.7,16974700.0,10302852600.0,14.285714285714286,2.3419203747072603,True,54.36363636363636
SKLT.JK,Sekar Laut Tbk,Consumer Defensive,11.257036,2.0044765,3.85,1496331845632,28.342245989304814,26.31578947368421,,240.0,235.7,218.76,2921925.0,732358570.0,10.285714285714286,4.285714285714286,True,50.526315789473685
TSPC.JK,Tempo Scan Pacific Tbk,Healthcare,8.529809,1.3643916,7.22,12808015052800,25.552608311229,23.963334788302053,,2840.0,2779.0,2711.49330078125,896920.0,2500044150.0,57.857142857142854,2.0372233400402413,True,49.585333915320824
INTP.JK,Indocement Tunggal Prakarsa Tbk,Basic Materials,11.549174,1.039539,3.75,24345548161024,0.0,20.96069868995633,,6925.0,6746.25,6488.0,1469550.0,9923875125.0,278.57142857142856,4.0226921093347086,True,48.38427947598253
APLN.JK,Agung Podomoro Land Tbk.,Real Estate,3.9720485,0.21906783,,2451527434240,2.857142857142857,16.129032258064516,,108.0,101.85,99.92,28654455.0,3028303180.0,5.142857142857143,4.761904761904763,True,46.45161290322581
